pc_name,shubetsu,pc_name2,maker
10AXA25U00（LENOVO）,N,10AXA25U00,LENOVO
10GAA02NJP（LENOVO）,N,10GAA02NJP,LENOVO
20A7A01CJP（LENOVO）,N,20A7A01CJP,LENOVO
20AMA4DFJP（LENOVO）,N,20AMA4DFJP,LENOVO
20BS0040JP（LENOVO）,N,20BS0040JP,LENOVO
20BTA03PJP（LENOVO）,N,20BTA03PJP,LENOVO
20BTA0YJJP（LENOVO）,N,20BTA0YJJP,LENOVO
20CLA21PJP（LENOVO）,N,20CLA21PJP,LENOVO
20CM006NJP（LENOVO）,N,20CM006NJP,LENOVO
20FAA1AMJP（LENOVO）,N,20FAA1AMJP,LENOVO
20FB007AJP（LENOVO）,N,20FB007AJP,LENOVO
20HMA090JP（LENOVO）,N,20HMA090JP,LENOVO
20HR0005JP（LENOVO）,N,20HR0005JP,LENOVO
20K3A001JP（LENOVO）,N,20K3A001JP,LENOVO
20K5S3S500（LENOVO）,N,20K5S3S500,LENOVO
20KESBF400（LENOVO）,N,20KESBF400,LENOVO
20KGS3X300（LENOVO）,N,20KGS3X300,LENOVO
20N2CTO1WW（LENOVO）,N,20N2CTO1WW,LENOVO
20RDCTO1WW（LENOVO）,N,20RDCTO1WW,LENOVO
3358BAJ（LENOVO）,N,3358BAJ,LENOVO
8456____（HP）,D,8456____,HP
All Series（ASUS）,D,All Series,ASUS
C7H61（Supermicro）,D,C7H61,Supermicro
CF-31JEGAKDJ（Panasonic Corporation）,N,CF-31JEGAKDJ,Panasonic Corporation
CF-31WELAJCJ（Panasonic Corporation）,N,CF-31WELAJCJ,Panasonic Corporation
CF-33-1（Panasonic Corporation）,N,CF-33-1,Panasonic Corporation
CF-J10EYCDS（Panasonic Corporation）,N,CF-J10EYCDS,Panasonic Corporation
CFLV7-1（Panasonic Corporation）,N,CFLV7-1,Panasonic Corporation
CFLV8-1（Panasonic Corporation）,N,CFLV8-1,Panasonic Corporation
CF-LX3JDMCS（Panasonic Corporation）,N,CF-LX3JDMCS,Panasonic Corporation
CFLX5-2（Panasonic Corporation）,N,CFLX5-2,Panasonic Corporation
CFLX5-2L（Panasonic Corporation）,N,CFLX5-2L,Panasonic Corporation
CFLX5-3（Panasonic Corporation）,N,CFLX5-3,Panasonic Corporation
CFLX6-2（Panasonic Corporation）,N,CFLX6-2,Panasonic Corporation
CFMX4-1（Panasonic Corporation）,N,CFMX4-1,Panasonic Corporation
CFMX4-1L（Panasonic Corporation）,N,CFMX4-1L,Panasonic Corporation
CFMX5-2（Panasonic Corporation）,N,CFMX5-2,Panasonic Corporation
CFMX5-3（Panasonic Corporation）,N,CFMX5-3,Panasonic Corporation
CF-NX2LVRCS（Panasonic Corporation）,N,CF-NX2LVRCS,Panasonic Corporation
CFRZ4-1（Panasonic Corporation）,N,CFRZ4-1,Panasonic Corporation
CFRZ4-2（Panasonic Corporation）,N,CFRZ4-2,Panasonic Corporation
CFRZ5-2（Panasonic Corporation）,N,CFRZ5-2,Panasonic Corporation
CFRZ5-3（Panasonic Corporation）,N,CFRZ5-3,Panasonic Corporation
CFRZ6-1L（Panasonic Corporation）,N,CFRZ6-1L,Panasonic Corporation
CFRZ6-2（Panasonic Corporation）,N,CFRZ6-2,Panasonic Corporation
CF-S10EWHDS（Panasonic Corporation）,N,CF-S10EWHDS,Panasonic Corporation
CFSV7-1（Panasonic Corporation）,N,CFSV7-1,Panasonic Corporation
CFSV8-2（Panasonic Corporation）,N,CFSV8-2,Panasonic Corporation
CF-SX1GDHYS（Panasonic Corporation）,N,CF-SX1GDHYS,Panasonic Corporation
CF-SX2JETDR（Panasonic Corporation）,N,CF-SX2JETDR,Panasonic Corporation
CF-SX3EDRCS（Panasonic Corporation）,N,CF-SX3EDRCS,Panasonic Corporation
CF-SX3GDRCS（Panasonic Corporation）,N,CF-SX3GDRCS,Panasonic Corporation
CF-SX3TEYWR（Panasonic Corporation）,N,CF-SX3TEYWR,Panasonic Corporation
CFSX4-1（Panasonic Corporation）,N,CFSX4-1,Panasonic Corporation
CFSX4-1L（Panasonic Corporation）,N,CFSX4-1L,Panasonic Corporation
CFSZ5-2（Panasonic Corporation）,N,CFSZ5-2,Panasonic Corporation
CFSZ5-3（Panasonic Corporation）,N,CFSZ5-3,Panasonic Corporation
CFSZ6-2（Panasonic Corporation）,N,CFSZ6-2,Panasonic Corporation
CFXZ6-1（Panasonic Corporation）,N,CFXZ6-1,Panasonic Corporation
CLPC-32WE1（USI）,D,CLPC-32WE1,USI
DX79SI__（INTEL_）,D,DX79SI__,INTEL_
dynabook B55/DN（TOSHIBA）,N,dynabook B55/DN,TOSHIBA
dynabook B55/J（TOSHIBA）,N,dynabook B55/J,TOSHIBA
dynabook B55/M（TOSHIBA）,N,dynabook B55/M,TOSHIBA
dynabook B65/DN（TOSHIBA）,N,dynabook B65/DN,TOSHIBA
dynabook G83/DN（TOSHIBA）,N,dynabook G83/DN,TOSHIBA
dynabook G83/FP（Dynabook Inc.）,N,dynabook G83/FP,Dynabook Inc.
dynabook G83/M（TOSHIBA）,N,dynabook G83/M,TOSHIBA
dynabook GZ83/NL（TOSHIBA）,N,dynabook GZ83/NL,TOSHIBA
dynabook R63/DN（TOSHIBA）,N,dynabook R63/DN,TOSHIBA
dynabook R63/J（TOSHIBA）,N,dynabook R63/J,TOSHIBA
dynabook R63/M（TOSHIBA）,N,dynabook R63/M,TOSHIBA
dynabook R63/P（TOSHIBA）,N,dynabook R63/P,TOSHIBA
dynabook R73/B（TOSHIBA）,N,dynabook R73/B,TOSHIBA
dynabook R73/BN（TOSHIBA）,N,dynabook R73/BN,TOSHIBA
dynabook R73/J（TOSHIBA）,N,dynabook R73/J,TOSHIBA
dynabook R73/M（TOSHIBA）,N,dynabook R73/M,TOSHIBA
dynabook R73/U（TOSHIBA）,N,dynabook R73/U,TOSHIBA
dynabook VC72/J（TOSHIBA）,N,dynabook VC72/J,TOSHIBA
dynaDesk DT100/N（Dynabook Inc.）,D,dynaDesk DT100/N,Dynabook Inc.
Endeavor AT970（EPSON DIRECT CORP.）,D,Endeavor AT970,EPSON DIRECT CORP.
Endeavor AT980E（EPSON DIRECT CORP.）,D,Endeavor AT980E,EPSON DIRECT CORP.
Endeavor AT991E（EPSON DIRECT CORP.）,D,Endeavor AT991E,EPSON DIRECT CORP.
Endeavor AT993E（EPSON DIRECT CORP.）,D,Endeavor AT993E,EPSON DIRECT CORP.
Endeavor AT994E（EPSON DIRECT CORP.）,D,Endeavor AT994E,EPSON DIRECT CORP.
Endeavor MR4400E（EPSON DIRECT CORP.）,D,Endeavor MR4400E,EPSON DIRECT CORP.
Endeavor MR4700E（EPSON DIRECT CORP.）,D,Endeavor MR4700E,EPSON DIRECT CORP.
Endeavor MR4800E（EPSON DIRECT CORP.）,D,Endeavor MR4800E,EPSON DIRECT CORP.
Endeavor MR7200E-L（EPSON DIRECT CORP.）,D,Endeavor MR7200E-L,EPSON DIRECT CORP.
Endeavor MR7300E-L（EPSON DIRECT CORP.）,D,Endeavor MR7300E-L,EPSON DIRECT CORP.
Endeavor NA512E（EPSON DIRECT CORP.）,N,Endeavor NA512E,EPSON DIRECT CORP.
Endeavor NA513E（EPSON DIRECT CORP.）,N,Endeavor NA513E,EPSON DIRECT CORP.
Endeavor NJ2100（EPSON DIRECT CORP.）,N,Endeavor NJ2100,EPSON DIRECT CORP.
Express5800/52Xa [N8000-8201]（NEC）,D,Express5800/52Xa [N8000-8201],NEC
Express5800/53Xg [N8000-638]（NEC）,D,Express5800/53Xg [N8000-638],NEC
Express5800/53Xi [N8000-6306]（NEC）,D,Express5800/53Xi [N8000-6306],NEC
Express5800/53Xi [N8000-6309]（NEC）,D,Express5800/53Xi [N8000-6309],NEC
Express5800/53Xj [N8000-6311]（NEC）,D,Express5800/53Xj [N8000-6311],NEC
Express5800/56Xf [N8000-676]（NEC）,D,Express5800/56Xf [N8000-676],NEC
Express5800/56Xg [N8000-6609]（NEC）,D,Express5800/56Xg [N8000-6609],NEC
Express5800/56Xg-E [N8000-6604]（NEC）,D,Express5800/56Xg-E [N8000-6604],NEC
Express5800/56Xg-E [N8000-6607]（NEC）,D,Express5800/56Xg-E [N8000-6607],NEC
FMVA10004（FUJITSU）,N,FMVA10004,FUJITSU
FMVA10005（FUJITSU）,N,FMVA10005,FUJITSU
FMVA16001（FUJITSU）,N,FMVA16001,FUJITSU
FMVA16003（FUJITSU）,N,FMVA16003,FUJITSU
FMVA20001（FUJITSU）,N,FMVA20001,FUJITSU
FMVA26001（FUJITSU）,N,FMVA26001,FUJITSU
FMVA2905DP（FUJITSU）,N,FMVA2905DP,FUJITSU
FMVA54GB（FUJITSU）,N,FMVA54GB,FUJITSU
FMVD04001（FUJITSU）,D,FMVD04001,FUJITSU
FMVD0502NP（FUJITSU）,D,FMVD0502NP,FUJITSU
FMVD0702SP（FUJITSU）,D,FMVD0702SP,FUJITSU
FMVD12007（FUJITSU）,D,FMVD12007,FUJITSU
FMVD12010（FUJITSU）,D,FMVD12010,FUJITSU
FMVD12023P（FUJITSU）,D,FMVD12023P,FUJITSU
FMVD14008（FUJITSU）,D,FMVD14008,FUJITSU
FMVD1504H（FUJITSU）,D,FMVD1504H,FUJITSU
FMVD18001（FUJITSU）,D,FMVD18001,FUJITSU
FMVD21001（FUJITSU）,D,FMVD21001,FUJITSU
FMVD21015（FUJITSU）,D,FMVD21015,FUJITSU
FMVD2600V（FUJITSU）,D,FMVD2600V,FUJITSU
FMVD33001（FUJITSU）,D,FMVD33001,FUJITSU
FMVDE2A0L1（FUJITSU）,D,FMVDE2A0L1,FUJITSU
FMVDH3A0E1（FUJITSU）,D,FMVDH3A0E1,FUJITSU
FMVDK3F0A1（FUJITSU）,D,FMVDK3F0A1,FUJITSU
FMVDK3F0E1（FUJITSU）,D,FMVDK3F0E1,FUJITSU
FMVNA7H7（FUJITSU）,N,FMVNA7H7,FUJITSU
FMVNP7HE（FUJITSU）,N,FMVNP7HE,FUJITSU
FMVNP8A6（FUJITSU）,N,FMVNP8A6,FUJITSU
FMVNP8AE（FUJITSU）,N,FMVNP8AE,FUJITSU
FMVNS3BE（FUJITSU）,N,FMVNS3BE,FUJITSU
FMVP01001（FUJITSU）,N,FMVP01001,FUJITSU
FMVP02001（FUJITSU）,N,FMVP02001,FUJITSU
FMVP03002（FUJITSU）,N,FMVP03002,FUJITSU
FMVS03002（FUJITSU）,N,FMVS03002,FUJITSU
FMVS03004（FUJITSU）,N,FMVS03004,FUJITSU
FMVS04001（FUJITSU）,N,FMVS04001,FUJITSU
FMVS04003（FUJITSU）,N,FMVS04003,FUJITSU
FMVS04004（FUJITSU）,N,FMVS04004,FUJITSU
FMVS04005（FUJITSU）,N,FMVS04005,FUJITSU
FMVS06001（FUJITSU）,N,FMVS06001,FUJITSU
FMVS06003（FUJITSU）,N,FMVS06003,FUJITSU
FMVS09001（FUJITSU）,N,FMVS09001,FUJITSU
FMVT04002（FUJITSU）,N,FMVT04002,FUJITSU
FMVT05004（FUJITSU）,N,FMVT05004,FUJITSU
FMVU08001（FUJITSU）,N,FMVU08001,FUJITSU
FMVU09001（FUJITSU）,N,FMVU09001,FUJITSU
FMVU14003（FUJITSU）,N,FMVU14003,FUJITSU
FRIC5（TOSHIBA）,D,FRIC5,TOSHIBA
H110M-SI01（MouseComputer/7Pro64）,D,H110M-SI01,MouseComputer/7Pro64
HP Compaq 6000 Pro SFF PC（Hewlett-Packard）,D,HP Compaq 6000 Pro SFF PC,Hewlett-Packard
HP Compaq Elite 8300 CMT（Hewlett-Packard）,D,HP Compaq Elite 8300 CMT,Hewlett-Packard
HP Compaq Elite 8300 SFF（Hewlett-Packard）,D,HP Compaq Elite 8300 SFF,Hewlett-Packard
HP Compaq Pro 6300 SFF（Hewlett-Packard）,D,HP Compaq Pro 6300 SFF,Hewlett-Packard
HP Desktop Pro A G2（HP）,D,HP Desktop Pro A G2,HP
HP EliteBook 830 G5（HP）,N,HP EliteBook 830 G5,HP
HP EliteBook 830 G6（HP）,N,HP EliteBook 830 G6,HP
HP EliteBook 8570w（Hewlett-Packard）,N,HP EliteBook 8570w,Hewlett-Packard
HP EliteBook x360 1020 G2（HP）,N,HP EliteBook x360 1020 G2,HP
HP EliteBook x360 1030 G2（HP）,N,HP EliteBook x360 1030 G2,HP
HP EliteBook x360 1030 G3（HP）,N,HP EliteBook x360 1030 G3,HP
HP EliteDesk 800 G1 SFF（Hewlett-Packard）,D,HP EliteDesk 800 G1 SFF,Hewlett-Packard
HP EliteDesk 800 G1 TWR（Hewlett-Packard）,D,HP EliteDesk 800 G1 TWR,Hewlett-Packard
HP EliteDesk 800 G2 SFF（HP）,D,HP EliteDesk 800 G2 SFF,HP
HP EliteDesk 800 G4 TWR（HP）,D,HP EliteDesk 800 G4 TWR,HP
HP ProBook 450 G1（Hewlett-Packard）,N,HP ProBook 450 G1,Hewlett-Packard
HP ProBook 450 G5（HP）,N,HP ProBook 450 G5,HP
HP ProBook 4515s（Hewlett-Packard）,N,HP ProBook 4515s,Hewlett-Packard
HP ProBook 650 G4（HP）,N,HP ProBook 650 G4,HP
HP ProBook 6560b（Hewlett-Packard）,N,HP ProBook 6560b,Hewlett-Packard
HP ProDesk 400 G1 DM（Hewlett-Packard）,D,HP ProDesk 400 G1 DM,Hewlett-Packard
HP ProDesk 400 G3 DM (Japan)（HP）,D,HP ProDesk 400 G3 DM (Japan),HP
HP ProDesk 400 G4 DM (Japan)（HP）,D,HP ProDesk 400 G4 DM (Japan),HP
HP ProDesk 400 G4 SFF（HP）,D,HP ProDesk 400 G4 SFF,HP
HP ProDesk 400 G5 SFF（HP）,D,HP ProDesk 400 G5 SFF,HP
HP ProDesk 400 G6 SFF（HP）,D,HP ProDesk 400 G6 SFF,HP
HP ProDesk 600 G1 SFF（Hewlett-Packard）,D,HP ProDesk 600 G1 SFF,Hewlett-Packard
HP ProDesk 600 G2 SFF（HP）,D,HP ProDesk 600 G2 SFF,HP
HP ProDesk 600 G3 SFF（HP）,D,HP ProDesk 600 G3 SFF,HP
HP ProDesk 600 G4 SFF（HP）,D,HP ProDesk 600 G4 SFF,HP
HP ProDesk 600 G5 SFF（HP）,D,HP ProDesk 600 G5 SFF,HP
HP x2 210 G2（HP）,N,HP x2 210 G2,HP
HP xw4400 Workstation（Hewlett-Packard）,D,HP xw4400 Workstation,Hewlett-Packard
HP xw6600 Workstation（Hewlett-Packard）,D,HP xw6600 Workstation,Hewlett-Packard
HP Z2 Mini G3 Workstation（HP）,D,HP Z2 Mini G3 Workstation,HP
HP Z2 SFF G4 Workstation（HP）,D,HP Z2 SFF G4 Workstation,HP
HP Z2 Tower G4 Workstation（HP）,D,HP Z2 Tower G4 Workstation,HP
HP Z200 SFF Workstation（Hewlett-Packard）,D,HP Z200 SFF Workstation,Hewlett-Packard
HP Z220 SFF Workstation（Hewlett-Packard）,D,HP Z220 SFF Workstation,Hewlett-Packard
HP Z230 SFF Workstation（Hewlett-Packard）,D,HP Z230 SFF Workstation,Hewlett-Packard
HP Z230 Tower Workstation（Hewlett-Packard）,D,HP Z230 Tower Workstation,Hewlett-Packard
HP Z240 SFF Workstation（HP）,D,HP Z240 SFF Workstation,HP
HP Z240 Tower Workstation（HP）,D,HP Z240 Tower Workstation,HP
HP Z400 Workstation（Hewlett-Packard）,D,HP Z400 Workstation,Hewlett-Packard
HP Z420 Workstation（Hewlett-Packard）,D,HP Z420 Workstation,Hewlett-Packard
HP Z440 Workstation（Hewlett-Packard）,D,HP Z440 Workstation,Hewlett-Packard
HP Z8 G4 Workstation（HP）,D,HP Z8 G4 Workstation,HP
HP Z800 Workstation（Hewlett-Packard）,D,HP Z800 Workstation,Hewlett-Packard
HP Z840 Workstation（Hewlett-Packard）,D,HP Z840 Workstation,Hewlett-Packard
HP ZBook 14 G2（Hewlett-Packard）,N,HP ZBook 14 G2,Hewlett-Packard
HP ZBook 14（Hewlett-Packard）,N,HP ZBook 14,Hewlett-Packard
HP ZBook 14u G5（HP）,N,HP ZBook 14u G5,HP
HP ZBook 14u G6（HP）,N,HP ZBook 14u G6,HP
HP ZBook 15 G2（Hewlett-Packard）,N,HP ZBook 15 G2,Hewlett-Packard
HP ZBook 15 G3（HP）,N,HP ZBook 15 G3,HP
HP ZBook Studio G4（HP）,N,HP ZBook Studio G4,HP
HP ZBook Studio G5（HP）,N,HP ZBook Studio G5,HP
Inspiron 7590（Dell Inc.）,N,Inspiron 7590,Dell Inc.
Latitude 3301（Dell Inc.）,N,Latitude 3301,Dell Inc.
Latitude 3400（Dell Inc.）,N,Latitude 3400,Dell Inc.
MPro-S276（MouseComputer/7P64DG）,D,MPro-S276,MouseComputer/7P64DG
ONKYODSPC（ONKYODS）,D,ONKYODSPC,ONKYODS
OptiPlex 170L（Dell Computer Corporation）,D,OptiPlex 170L,Dell Computer Corporation
OptiPlex 7010（Dell Inc.）,D,OptiPlex 7010,Dell Inc.
OptiPlex 9010（Dell Inc.）,D,OptiPlex 9010,Dell Inc.
OptiPlex 9020（Dell Inc.）,D,OptiPlex 9020,Dell Inc.
OptiPlex XE2（Dell Inc.）,D,OptiPlex XE2,Dell Inc.
Parallels Virtual Platform（Parallels Software International Inc.）,D,Parallels Virtual Platform,Parallels Software International Inc.
PC-GN174Z2G3（NEC）,N,PC-GN174Z2G3,NEC
PC-GN256W1G7（NEC）,N,PC-GN256W1G7,NEC
PC-MK25MBZCC（NEC）,D,PC-MK25MBZCC,NEC
PC-MK25MEZNC（NEC）,D,PC-MK25MEZNC,NEC
PC-MK28HEZND（NEC）,D,PC-MK28HEZND,NEC
PC-MK29MLZD1FJG（NEC）,D,PC-MK29MLZD1FJG,NEC
PC-MK31MBZCE（NEC）,D,PC-MK31MBZCE,NEC
PC-MK32MBZCH（NEC）,D,PC-MK32MBZCH,NEC
PC-MK32MEZCB（NEC）,D,PC-MK32MEZCB,NEC
PC-MK33MBZDJ（NEC）,D,PC-MK33MBZDJ,NEC
PC-MK33MBZDK（NEC）,D,PC-MK33MBZDK,NEC
PC-MK33MBZDM（NEC）,D,PC-MK33MBZDM,NEC
PC-MK33MBZDN（NEC）,D,PC-MK33MBZDN,NEC
PC-MK33MBZNJ（NEC）,D,PC-MK33MBZNJ,NEC
PC-MK33MBZNM（NEC）,D,PC-MK33MBZNM,NEC
PC-MK34HEZGT（NEC）,D,PC-MK34HEZGT,NEC
PC-MK34HEZGU（NEC）,D,PC-MK34HEZGU,NEC
PC-MK34HEZNF（NEC）,D,PC-MK34HEZNF,NEC
PC-MK34LLZD1FSH（NEC）,D,PC-MK34LLZD1FSH,NEC
PC-MK36HBZNM（NEC）,D,PC-MK36HBZNM,NEC
PC-MK36HEZNK（NEC）,D,PC-MK36HEZNK,NEC
PC-MK36HEZNM（NEC）,D,PC-MK36HEZNM,NEC
PC-MK36HEZNN（NEC）,D,PC-MK36HEZNN,NEC
PC-MKH30BZG5（NEC）,D,PC-MKH30BZG5,NEC
PC-MKH30EZG5（NEC）,D,PC-MKH30EZG5,NEC
PC-MKH30EZG6（NEC）,D,PC-MKH30EZG6,NEC
PC-MKH32EZG4（NEC）,D,PC-MKH32EZG4,NEC
PC-VJ11CSQGU（NEC）,N,PC-VJ11CSQGU,NEC
PC-VJ16TGSDH（NEC）,N,PC-VJ16TGSDH,NEC
PC-VK11CSQGT（NEC）,N,PC-VK11CSQGT,NEC
PC-VK17HBBCE（NEC）,N,PC-VK17HBBCE,NEC
PC-VK17TGSDJ（NEC）,N,PC-VK17TGSDJ,NEC
PC-VK19SGJDBLEF（NEC）,N,PC-VK19SGJDBLEF,NEC
PC-VK22TGGGS（NEC）,N,PC-VK22TGGGS,NEC
PC-VK22TGSDL（NEC）,N,PC-VK22TGSDL,NEC
PC-VK23RBZDT（NEC）,N,PC-VK23RBZDT,NEC
PC-VK23RBZGU（NEC）,N,PC-VK23RBZGU,NEC
PC-VK23RBZNP（NEC）,N,PC-VK23RBZNP,NEC
PC-VK23RBZNR（NEC）,N,PC-VK23RBZNR,NEC
PC-VK23TGVGU（NEC）,N,PC-VK23TGVGU,NEC
PC-VK23TGWGU（NEC）,N,PC-VK23TGWGU,NEC
PC-VK24MMZGU（NEC）,N,PC-VK24MMZGU,NEC
PC-VK25MXZCC（NEC）,N,PC-VK25MXZCC,NEC
PC-VK25MXZCD（NEC）,N,PC-VK25MXZCD,NEC
PC-VK25MXZND（NEC）,N,PC-VK25MXZND,NEC
PC-VK26MCZCH（NEC）,N,PC-VK26MCZCH,NEC
PC-VK26MCZNH（NEC）,N,PC-VK26MCZNH,NEC
PC-VK26MXZCE（NEC）,N,PC-VK26MXZCE,NEC
PC-VK26MXZCH（NEC）,N,PC-VK26MXZCH,NEC
PC-VK26TXZDM（NEC）,N,PC-VK26TXZDM,NEC
PC-VK26TXZDN（NEC）,N,PC-VK26TXZDN,NEC
PC-VK27MBZCG（NEC）,N,PC-VK27MBZCG,NEC
PC-VK27MCZDJ（NEC）,N,PC-VK27MCZDJ,NEC
PC-VK27MCZDK（NEC）,N,PC-VK27MCZDK,NEC
PC-VK27MCZDM（NEC）,N,PC-VK27MCZDM,NEC
PC-VK27MCZNM（NEC）,N,PC-VK27MCZNM,NEC
PC-VK27MXZDJ（NEC）,N,PC-VK27MXZDJ,NEC
PC-VK27MXZDK（NEC）,N,PC-VK27MXZDK,NEC
PC-VK29HDZNH（NEC）,N,PC-VK29HDZNH,NEC
PC-VKH19XZG2（NEC）,N,PC-VKH19XZG2,NEC
PC-VKM17BZG4（NEC）,N,PC-VKM17BZG4,NEC
PC-VKM17DZG4（NEC）,N,PC-VKM17DZG4,NEC
PC-VKM24BZG1（NEC）,N,PC-VKM24BZG1,NEC
PC-VKT12HZG3（NEC）,N,PC-VKT12HZG3,NEC
PC-VKT13HZG4（NEC）,N,PC-VKT13HZG4,NEC
PC-VKT13HZG5（NEC）,N,PC-VKT13HZG5,NEC
PC-VKV18GZG6（NEC）,N,PC-VKV18GZG6,NEC
PC-VKX6XT1GR（NEC）,N,PC-VKX6XT1GR,NEC
PN-ZP20（SHARP Corporation）,D,PN-ZP20,SHARP Corporation
Precision 3630 Tower（Dell Inc.）,D,Precision 3630 Tower,Dell Inc.
Precision T3610（Dell Inc.）,D,Precision T3610,Dell Inc.
Precision T7600（Dell Inc.）,D,Precision T7600,Dell Inc.
Surface Book 2（Microsoft Corporation）,N,Surface Book 2,Microsoft Corporation
Surface Book（Microsoft Corporation）,N,Surface Book,Microsoft Corporation
Surface Go（Microsoft Corporation）,N,Surface Go,Microsoft Corporation
Surface Pro 2（Microsoft Corporation）,N,Surface Pro 2,Microsoft Corporation
Surface Pro 4（Microsoft Corporation）,N,Surface Pro 4,Microsoft Corporation
Surface Pro 6（Microsoft Corporation）,N,Surface Pro 6,Microsoft Corporation
Surface Pro 7（Microsoft Corporation）,N,Surface Pro 7,Microsoft Corporation
Surface Pro（Microsoft Corporation）,N,Surface Pro,Microsoft Corporation
System Product Name（System manufacturer）,D,System Product Name,System manufacturer
Veriton N2620G（Acer）,D,Veriton N2620G,Acer
Veriton X480（Acer）,D,Veriton X480,Acer
Virtual Machine（Microsoft Corporation）,D,Virtual Machine,Microsoft Corporation
VJP132（VAIO Corporation）,N,VJP132,VAIO Corporation
VJPB11（VAIO Corporation）,N,VJPB11,VAIO Corporation
VJPF11（VAIO Corporation）,N,VJPF11,VAIO Corporation
VJPG11（VAIO Corporation）,N,VJPG11,VAIO Corporation
VJPG11C11N（VAIO Corporation）,N,VJPG11C11N,VAIO Corporation
VJPJ11C11N（VAIO Corporation）,N,VJPJ11C11N,VAIO Corporation
VJPK11C11N（VAIO Corporation）,N,VJPK11C11N,VAIO Corporation
VJS131（VAIO Corporation）,N,VJS131,VAIO Corporation
"VMware Virtual Platform（VMware, Inc.）",D,VMware Virtual Platform,"VMware, Inc."
"VMware7,1（VMware, Inc.）",D,"VMware7,1","VMware, Inc."
Vostro 7590（Dell Inc.）,N,Vostro 7590,Dell Inc.
VPCF24AJ（Sony Corporation）,N,VPCF24AJ,Sony Corporation
X9DAi（Supermicro）,D,X9DAi,Supermicro
X9DR3-F（Supermicro）,D,X9DR3-F,Supermicro
XPS 13 9350（Dell Inc.）,N,XPS 13 9350,Dell Inc.
